label,arp_opcode,arp_src_hw_mac,arp_src_proto_ipv4,arp_dst_hw_mac,arp_dst_proto_ipv4,frame_len
0,1,02:00:00:9d:24:70,192.168.1.219,ff:ff:ff:ff:ff:ff,192.168.1.200,63
0,2,02:00:00:99:99:03,192.168.1.194,02:00:00:17:a5:d7,192.168.1.88,60
0,2,02:00:00:57:01:f9,192.168.1.237,02:00:00:c0:4f:68,192.168.1.135,53
0,1,02:00:00:d0:27:cc,192.168.1.230,ff:ff:ff:ff:ff:ff,192.168.1.72,50
0,1,02:00:00:86:2d:a5,192.168.1.106,ff:ff:ff:ff:ff:ff,192.168.1.11,54
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:00:3d:33,192.168.1.69,49
0,2,02:00:00:f5:cc:5c,192.168.1.145,02:00:00:bd:da:2a,192.168.1.7,51
0,1,02:00:00:a1:8b:70,192.168.1.115,ff:ff:ff:ff:ff:ff,192.168.1.118,50
0,1,02:00:00:57:c6:40,192.168.1.11,ff:ff:ff:ff:ff:ff,192.168.1.145,56
0,1,02:00:00:7d:c8:14,192.168.1.28,ff:ff:ff:ff:ff:ff,192.168.1.214,55
0,2,02:00:00:00:3d:33,192.168.1.69,02:00:00:60:d1:b2,192.168.1.250,45
0,2,02:00:00:1f:85:43,192.168.1.221,02:00:00:30:71:01,192.168.1.127,60
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.66,49
0,2,02:00:00:00:3d:33,192.168.1.69,02:00:00:19:7c:6b,192.168.1.25,48
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:5e:27:82,192.168.1.89,43
0,2,02:00:00:9d:a3:be,192.168.1.33,02:00:00:e0:c7:c3,192.168.1.181,62
0,2,02:00:00:42:98:7d,192.168.1.200,02:00:00:94:8b:28,192.168.1.60,59
0,1,02:00:00:07:3b:79,192.168.1.229,ff:ff:ff:ff:ff:ff,192.168.1.67,45
0,1,02:00:00:60:d1:b2,192.168.1.250,ff:ff:ff:ff:ff:ff,192.168.1.21,45
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:9d:24:70,192.168.1.219,49
0,1,02:00:00:bd:da:2a,192.168.1.7,ff:ff:ff:ff:ff:ff,192.168.1.98,49
0,1,02:00:00:c0:4f:68,192.168.1.135,ff:ff:ff:ff:ff:ff,192.168.1.59,45
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:7e:4e:a4,192.168.1.184,64
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:16:97:af,192.168.1.18,44
0,2,02:00:00:e4:97:80,192.168.1.66,02:00:00:58:04:51,192.168.1.72,57
0,1,02:00:00:8f:ee:25,192.168.1.160,ff:ff:ff:ff:ff:ff,192.168.1.221,50
0,1,02:00:00:7e:4e:a4,192.168.1.184,ff:ff:ff:ff:ff:ff,192.168.1.194,42
0,1,02:00:00:17:a5:d7,192.168.1.88,ff:ff:ff:ff:ff:ff,192.168.1.51,56
0,1,02:00:00:e4:3e:86,192.168.1.144,ff:ff:ff:ff:ff:ff,192.168.1.11,64
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:94:8b:28,192.168.1.60,45
0,2,02:00:00:5e:27:82,192.168.1.89,02:00:00:ce:7e:50,192.168.1.46,44
0,2,02:00:00:86:2d:a5,192.168.1.106,02:00:00:1c:fb:87,192.168.1.6,61
0,1,02:00:00:7d:c8:14,192.168.1.28,ff:ff:ff:ff:ff:ff,192.168.1.6,46
0,2,02:00:00:07:3b:79,192.168.1.229,02:00:00:d0:27:cc,192.168.1.230,44
0,1,02:00:00:c1:cc:0f,192.168.1.254,ff:ff:ff:ff:ff:ff,192.168.1.219,44
0,1,02:00:00:c0:4f:68,192.168.1.135,ff:ff:ff:ff:ff:ff,192.168.1.230,43
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:a9:f6:76,192.168.1.21,51
1,2,DE:AD:BE:EF:00:01,192.168.1.7,00:00:0A:BB:CC:01,192.168.1.1,55
0,1,02:00:00:f5:cc:5c,192.168.1.145,ff:ff:ff:ff:ff:ff,192.168.1.60,42
0,1,02:00:00:a9:f6:76,192.168.1.21,ff:ff:ff:ff:ff:ff,192.168.1.33,51
0,2,02:00:00:b2:e9:41,192.168.1.104,02:00:00:19:7c:6b,192.168.1.25,52
1,2,DE:AD:BE:EF:00:01,192.168.1.53,00:00:0A:BB:CC:01,192.168.1.1,47
0,2,02:00:00:d0:27:cc,192.168.1.230,02:00:00:07:3b:79,192.168.1.229,53
0,1,02:00:00:a9:f6:76,192.168.1.21,ff:ff:ff:ff:ff:ff,192.168.1.116,44
0,2,02:00:00:3c:0d:6b,192.168.1.214,02:00:00:a1:8b:70,192.168.1.115,46
0,2,02:00:00:30:71:01,192.168.1.127,02:00:00:86:2d:a5,192.168.1.106,55
0,2,02:00:00:3c:0d:6b,192.168.1.214,02:00:00:9d:a3:be,192.168.1.33,45
1,2,DE:AD:BE:EF:00:01,192.168.1.51,00:00:0A:BB:CC:01,192.168.1.1,45
1,2,DE:AD:BE:EF:00:01,192.168.1.1,02:00:00:17:a5:d7,192.168.1.88,64
0,1,02:00:00:1f:85:43,192.168.1.221,ff:ff:ff:ff:ff:ff,192.168.1.58,49
0,2,02:00:00:ce:7e:50,192.168.1.46,02:00:00:30:71:01,192.168.1.127,52
